,customerID,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies
44,8012-SOUDQ,Fiber optic,No,Yes,No,No,Yes,No
45,9420-LOJKX,Fiber optic,Yes,Yes,No,No,Yes,Yes
46,6575-SUVOI,DSL,Yes,No,No,Yes,Yes,No
47,7495-OOKFY,Fiber optic,No,Yes,No,No,No,No
48,4667-QONEA,DSL,Yes,Yes,Yes,Yes,No,Yes
49,1658-BYGOY,Fiber optic,No,No,No,No,Yes,Yes
50,8769-KKTPH,Fiber optic,Yes,No,No,No,Yes,Yes
51,5067-XJQFU,Fiber optic,No,Yes,Yes,Yes,Yes,Yes
52,5954-BDFSG,Fiber optic,No,No,Yes,Yes,Yes,Yes
53,0434-CSFON,Fiber optic,No,No,Yes,No,Yes,Yes
54,1215-FIGMP,Fiber optic,No,Yes,No,No,Yes,No
55,0526-SXDJP,DSL,Yes,Yes,Yes,No,No,No
56,0557-ASKVU,DSL,No,No,Yes,Yes,No,No
57,5698-BQJOH,Fiber optic,No,No,No,No,Yes,Yes
58,5122-CYFXA,DSL,No,Yes,No,Yes,Yes,Yes
59,8627-ZYGSZ,Fiber optic,No,Yes,No,No,No,No
60,3410-YOQBQ,DSL,No,Yes,Yes,Yes,Yes,Yes
61,7410-OIEDU,Fiber optic,Yes,No,Yes,No,No,No
62,2273-QCKXA,DSL,No,No,No,Yes,No,No
63,1891-QRQSA,Fiber optic,Yes,No,Yes,Yes,Yes,Yes
64,5630-AHZIL,DSL,Yes,No,No,Yes,No,Yes
65,2673-CXQEU,Fiber optic,Yes,Yes,Yes,No,Yes,Yes
66,6416-JNVRK,DSL,No,No,No,No,No,Yes
67,5590-ZSKRV,DSL,Yes,Yes,No,No,No,No
68,0191-ZHSKZ,DSL,Yes,Yes,No,No,Yes,Yes
69,5919-TMRGD,Fiber optic,No,No,No,No,Yes,No
70,8108-UXRQN,DSL,Yes,No,No,No,Yes,Yes
71,9191-MYQKX,Fiber optic,No,No,Yes,No,No,No
72,9919-YLNNG,Fiber optic,No,Yes,Yes,Yes,Yes,Yes
73,4445-ZJNMU,Fiber optic,No,Yes,No,No,Yes,Yes
74,4808-YNLEU,DSL,Yes,No,No,No,Yes,No
75,3016-KSVCP,DSL,No,No,No,No,Yes,No
76,4767-HZZHQ,Fiber optic,No,Yes,Yes,No,No,No
77,2424-WVHPL,Fiber optic,No,No,No,Yes,No,No
78,7233-PAHHL,DSL,Yes,No,Yes,Yes,Yes,Yes
79,6067-NGCEU,Fiber optic,Yes,Yes,Yes,No,Yes,Yes
80,9848-JQJTX,Fiber optic,No,Yes,Yes,No,Yes,Yes
81,8637-XJIVR,Fiber optic,Yes,No,No,No,No,No
82,9803-FTJCG,DSL,Yes,Yes,No,Yes,No,No
83,4598-XLKNJ,Fiber optic,No,Yes,Yes,No,Yes,Yes
84,7123-WQUHX,Fiber optic,No,No,Yes,Yes,Yes,No
85,5386-THSLQ,DSL,No,Yes,Yes,No,Yes,No
86,3192-NQECA,Fiber optic,No,Yes,Yes,Yes,Yes,Yes
87,6180-YBIQI,DSL,No,No,No,No,No,No
88,6728-DKUCO,Fiber optic,Yes,Yes,No,No,Yes,Yes
89,9750-BOOHV,DSL,Yes,No,No,No,No,No
90,8597-CWYHH,Fiber optic,No,No,No,No,Yes,Yes
91,0486-HECZI,Fiber optic,Yes,Yes,No,No,Yes,No
92,4549-ZDQYY,DSL,Yes,No,Yes,Yes,No,No
93,5712-AHQNN,Fiber optic,No,Yes,Yes,No,Yes,No
94,4846-WHAFZ,Fiber optic,No,No,No,No,No,No
95,5256-SKJGO,DSL,No,Yes,No,Yes,Yes,Yes
96,3071-VBYPO,Fiber optic,Yes,Yes,No,No,Yes,No
97,9560-BBZXK,DSL,Yes,No,No,No,No,No
98,5299-RULOA,Fiber optic,Yes,No,No,No,Yes,Yes
99,9445-ZUEQE,Fiber optic,No,Yes,No,Yes,No,No
100,1091-SOZGA,Fiber optic,No,No,Yes,No,Yes,Yes
101,0404-SWRVG,Fiber optic,No,No,No,No,No,No
102,6497-TILVL,DSL,Yes,No,No,No,No,No
103,4622-YNKIJ,Fiber optic,Yes,No,No,Yes,Yes,No
104,4412-YLTKF,Fiber optic,No,No,Yes,No,No,No
105,2639-UGMAZ,DSL,Yes,Yes,No,No,Yes,Yes
106,2876-GZYZC,Fiber optic,No,No,No,No,No,Yes
107,6207-WIOLX,DSL,Yes,Yes,Yes,No,Yes,Yes
108,8587-XYZSF,DSL,No,No,No,Yes,No,No
109,3091-FYHKI,DSL,No,No,No,No,No,Yes
110,2372-HWUHI,DSL,No,No,No,No,No,No
111,7850-VWJUU,Fiber optic,Yes,No,No,No,No,No
112,0390-DCFDQ,Fiber optic,No,No,No,No,No,No
113,3146-MSEGF,DSL,Yes,Yes,Yes,Yes,Yes,Yes
114,4080-OGPJL,DSL,Yes,No,No,Yes,No,Yes
115,1095-WGNGG,Fiber optic,No,Yes,No,No,Yes,Yes
116,2636-SJDOU,Fiber optic,Yes,Yes,No,No,No,No
117,5716-EZXZN,Fiber optic,Yes,Yes,No,Yes,Yes,No
118,2135-RXIHG,DSL,No,No,No,No,No,No
119,6440-DKQGE,DSL,No,Yes,Yes,No,Yes,No
120,3466-BYAVD,DSL,No,Yes,Yes,Yes,No,Yes
121,3780-YVMFA,DSL,No,No,No,Yes,Yes,Yes
122,3874-EQOEP,Fiber optic,No,No,No,No,Yes,Yes
123,1679-JRFBR,Fiber optic,Yes,Yes,Yes,No,Yes,Yes
124,9073-ZZIAY,DSL,Yes,Yes,Yes,Yes,Yes,Yes
125,6551-GNYDG,Fiber optic,No,No,No,No,No,Yes
126,9167-APMXZ,Fiber optic,No,No,No,No,Yes,No
127,6371-NZYEG,DSL,Yes,No,Yes,No,Yes,No
128,8992-VONJD,DSL,Yes,Yes,No,No,No,No
129,0867-MKZVY,Fiber optic,Yes,No,No,No,No,No
130,4482-EWFMI,Fiber optic,No,No,No,No,No,No
131,4648-YPBTM,DSL,No,Yes,Yes,Yes,No,Yes
132,3376-BMGFE,Fiber optic,No,No,No,No,No,No
133,5997-OPVFA,DSL,Yes,Yes,Yes,Yes,Yes,Yes
134,3445-HXXGF,DSL,No,Yes,Yes,No,No,Yes
135,7654-YWJUF,Fiber optic,Yes,No,Yes,Yes,No,No
136,1875-QIVME,Fiber optic,No,No,Yes,Yes,Yes,Yes
137,6727-IOTLZ,DSL,No,Yes,Yes,Yes,Yes,Yes
138,0691-JVSYA,Fiber optic,No,No,Yes,No,Yes,Yes
139,2656-FMOKZ,Fiber optic,No,No,No,No,No,No
140,2070-FNEXE,Fiber optic,Yes,No,No,No,No,No
141,5947-SGKCL,Fiber optic,No,Yes,Yes,No,Yes,Yes
142,6317-YPKDH,DSL,No,Yes,No,No,No,No
143,6582-OIVSP,DSL,No,No,No,No,No,No
144,9367-WXLCH,Fiber optic,No,No,No,No,No,Yes
145,5524-KHNJP,DSL,Yes,No,Yes,No,Yes,Yes
146,1918-ZBFQJ,Fiber optic,No,Yes,Yes,No,No,No
147,1024-GUALD,DSL,No,No,No,No,No,No
148,4827-USJHP,DSL,No,Yes,No,No,No,No
149,8167-GJLRN,DSL,No,No,No,Yes,No,No
150,8017-UVSZU,DSL,No,Yes,No,No,No,No
151,7100-FQPRV,DSL,Yes,No,No,Yes,No,Yes
152,2472-OVKUP,Fiber optic,No,Yes,Yes,No,No,Yes
153,9680-NIAUV,Fiber optic,Yes,Yes,Yes,No,Yes,Yes
154,2604-IJPDU,Fiber optic,Yes,Yes,No,Yes,Yes,No
155,6168-YBYNP,Fiber optic,No,Yes,Yes,Yes,Yes,Yes
156,7255-SSFBC,Fiber optic,No,Yes,Yes,Yes,Yes,Yes
157,9323-HGFWY,Fiber optic,Yes,No,No,Yes,Yes,Yes
158,8544-GOQSH,Fiber optic,No,Yes,No,Yes,No,No
159,3363-DTIVD,Fiber optic,Yes,No,Yes,No,Yes,Yes
160,7018-WBJNK,Fiber optic,No,No,No,No,Yes,No
161,9142-KZXOP,Fiber optic,No,No,No,No,No,No
162,7674-YTAFD,Fiber optic,No,Yes,No,Yes,No,No
163,6348-SNFUS,DSL,Yes,Yes,Yes,Yes,No,Yes
164,1285-OKIPP,Fiber optic,No,No,No,No,No,Yes
165,7825-ECJRF,Fiber optic,Yes,No,Yes,Yes,Yes,Yes
166,1347-KTTTA,Fiber optic,No,Yes,Yes,Yes,Yes,Yes
167,7841-TZDMQ,DSL,No,No,No,No,No,No
168,4195-NZGTA,DSL,No,No,No,No,No,No
169,2504-DSHIH,Fiber optic,No,No,No,No,No,Yes
170,0699-NDKJM,DSL,Yes,Yes,Yes,No,Yes,Yes
171,9286-BHDQG,DSL,Yes,Yes,Yes,Yes,No,No
172,0230-WEQUW,DSL,Yes,Yes,Yes,Yes,Yes,No
173,2040-LDIWQ,DSL,No,Yes,Yes,Yes,Yes,Yes
174,6496-JDSSB,Fiber optic,No,No,No,No,Yes,No
175,9408-SSNVZ,Fiber optic,No,No,No,No,No,No
176,0742-MOABM,DSL,No,No,No,Yes,No,No
177,6778-JFCMK,DSL,Yes,No,No,No,Yes,Yes
178,6341-JVQGF,DSL,Yes,No,Yes,Yes,Yes,Yes
179,2232-DMLXU,DSL,No,No,No,No,Yes,No
180,4811-JBUVU,Fiber optic,No,No,No,Yes,No,Yes
181,0945-TSONX,DSL,Yes,Yes,No,Yes,Yes,Yes
182,2651-ZCBXV,Fiber optic,Yes,Yes,No,Yes,Yes,Yes
183,3316-UWXUY,Fiber optic,Yes,Yes,No,Yes,No,Yes
184,8937-RDTHP,Fiber optic,Yes,No,No,No,No,Yes
185,1251-KRREG,DSL,No,Yes,No,No,No,No
186,0621-JFHOL,DSL,No,No,No,Yes,No,No
187,9903-LYSAB,Fiber optic,No,No,No,No,No,No
188,0094-OIFMO,Fiber optic,No,Yes,No,No,Yes,Yes
189,7301-ABVAD,DSL,No,Yes,Yes,Yes,Yes,Yes
190,6614-FHDBO,Fiber optic,No,Yes,Yes,Yes,Yes,Yes
191,7576-ASEJU,DSL,Yes,No,No,Yes,Yes,Yes
192,9058-HRZSV,Fiber optic,Yes,Yes,Yes,No,No,Yes
193,4522-AKYLR,DSL,No,Yes,Yes,No,No,No
194,0221-WMXNQ,Fiber optic,Yes,No,No,No,No,No
195,0303-UNCIP,DSL,No,No,Yes,No,No,Yes
196,9947-OTFQU,Fiber optic,No,Yes,No,No,No,No
197,0322-YINQP,DSL,Yes,No,No,No,No,No
198,0959-WHOKV,Fiber optic,Yes,Yes,Yes,No,No,Yes
199,4075-JFPGR,Fiber optic,Yes,Yes,Yes,No,Yes,No
200,4629-NRXKX,Fiber optic,No,No,No,No,No,No
201,9514-JDSKI,DSL,No,Yes,No,No,Yes,No
202,3282-ZISZV,DSL,No,Yes,Yes,Yes,Yes,Yes
203,4111-BNXIF,DSL,No,Yes,Yes,Yes,Yes,Yes
204,7017-VFHAY,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes
205,6655-LHBYW,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes
206,4959-JOSRX,DSL,No,No,No,No,No,No
207,5046-NUHWD,DSL,Yes,No,Yes,No,No,Yes
208,7273-TEFQD,DSL,No,No,Yes,No,No,Yes
209,3606-TWKGI,Fiber optic,No,Yes,Yes,No,Yes,Yes
210,7529-ZDFXI,Fiber optic,No,Yes,No,No,No,Yes
211,7605-BDWDC,DSL,Yes,Yes,No,Yes,No,Yes
212,1950-KSVVJ,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes
213,0123-CRBRT,DSL,Yes,Yes,Yes,Yes,Yes,Yes
214,3197-ARFOY,Fiber optic,Yes,Yes,No,Yes,Yes,Yes
215,4385-GZQXV,Fiber optic,No,No,No,Yes,Yes,Yes
216,7633-MVPUY,DSL,Yes,Yes,No,Yes,No,No
217,6366-ZGQGL,DSL,No,No,No,No,No,No
218,4716-HHKQH,Fiber optic,No,Yes,No,Yes,Yes,Yes
219,5940-AHUHD,Fiber optic,No,No,No,No,No,No
220,6432-TWQLB,Fiber optic,No,Yes,No,Yes,No,No
221,4484-GLZOU,Fiber optic,No,Yes,Yes,No,Yes,Yes
222,3179-GBRWV,DSL,Yes,Yes,No,No,No,Yes
223,8645-KWHJO,DSL,No,No,Yes,Yes,Yes,Yes
224,4130-MZLCC,DSL,No,Yes,No,No,No,No
225,0314-TKOSI,DSL,Yes,Yes,No,No,No,No
226,8229-MYEJZ,DSL,No,Yes,No,No,No,No
227,9577-WJVCQ,DSL,Yes,No,No,No,No,No
228,9512-UIBFX,Fiber optic,No,No,Yes,No,Yes,Yes
229,6202-DYYFX,Fiber optic,No,No,No,No,No,No
230,3808-HFKDE,DSL,No,No,No,No,No,No
231,5583-SXDAG,Fiber optic,No,No,No,No,No,No
232,3488-PGMQJ,Fiber optic,No,Yes,No,No,No,No
233,3580-REOAC,DSL,No,No,No,No,No,No
234,7534-BFESC,Fiber optic,No,No,No,No,No,No
235,3727-OWVYD,DSL,Yes,Yes,Yes,No,No,No
236,2294-SALNE,Fiber optic,No,Yes,Yes,Yes,No,No
237,4847-TAJYI,Fiber optic,No,No,No,No,Yes,Yes
238,6556-DBKZF,Fiber optic,No,No,Yes,No,No,No
239,6851-WEFYX,Fiber optic,No,No,Yes,No,Yes,Yes
240,2985-JUUBZ,DSL,No,No,Yes,No,Yes,Yes
241,6390-DSAZX,Fiber optic,Yes,No,No,No,No,No
242,0895-LMRSF,DSL,No,No,No,No,Yes,Yes
243,8098-LLAZX,Fiber optic,No,No,No,No,Yes,Yes
244,8266-VBFQL,Fiber optic,No,No,Yes,Yes,No,Yes
245,8181-YHCMF,DSL,No,Yes,Yes,Yes,Yes,Yes
246,2240-HSJQD,Fiber optic,No,Yes,No,No,No,No
247,0265-EDXBD,Fiber optic,No,No,No,No,No,No
248,4115-BNPJY,DSL,No,No,Yes,Yes,Yes,Yes
249,3167-SNQPL,Fiber optic,No,Yes,No,No,Yes,Yes
250,4091-TVOCN,DSL,Yes,No,Yes,No,Yes,Yes
251,7277-OZCGZ,Fiber optic,Yes,No,No,Yes,No,Yes
252,1557-EMYVT,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes
253,2799-ARNLO,Fiber optic,No,No,No,No,No,No
254,7563-BIUPC,Fiber optic,No,No,No,No,Yes,No
255,5027-YOCXN,Fiber optic,Yes,Yes,No,Yes,Yes,Yes
256,2321-OMBXY,DSL,Yes,Yes,No,Yes,Yes,Yes
257,2840-XANRC,Fiber optic,No,No,Yes,No,Yes,Yes
258,6745-JEFZB,Fiber optic,No,No,No,Yes,Yes,No
259,5020-ZSTTY,DSL,Yes,Yes,No,Yes,Yes,Yes
260,9880-TDQAC,DSL,No,Yes,Yes,Yes,Yes,Yes
261,8705-WZCYL,DSL,No,No,No,No,No,No
262,7102-JJVTX,DSL,Yes,No,No,No,No,No
263,8626-PTQGE,DSL,Yes,Yes,No,Yes,Yes,Yes
264,4983-CLMLV,Fiber optic,No,Yes,No,Yes,Yes,Yes
265,5701-YVSVF,Fiber optic,No,No,No,Yes,Yes,No
266,5804-LEPIM,Fiber optic,No,No,No,No,No,No
267,5697-GOMBF,DSL,No,No,No,No,Yes,No
268,2739-CACDQ,Fiber optic,No,No,Yes,No,No,No
269,2379-GYFLQ,Fiber optic,No,Yes,Yes,No,Yes,No
270,0122-OAHPZ,Fiber optic,No,No,No,No,No,No
271,2868-SNELZ,Fiber optic,No,No,Yes,No,No,No
272,4322-RCYMT,DSL,No,Yes,Yes,Yes,No,Yes
273,6680-NENYN,Fiber optic,No,Yes,Yes,No,Yes,Yes
274,2088-IEBAU,DSL,Yes,Yes,Yes,Yes,Yes,Yes
275,7982-VCELR,Fiber optic,No,Yes,No,No,Yes,Yes
276,1343-EHPYB,Fiber optic,No,Yes,Yes,No,Yes,Yes
277,6035-BXTTY,DSL,No,Yes,No,Yes,No,No
278,6885-PKOAM,DSL,Yes,Yes,Yes,Yes,Yes,Yes
279,7520-HQWJU,DSL,Yes,Yes,Yes,No,No,No
280,0021-IKXGC,Fiber optic,No,No,No,No,No,No
281,2034-GDRCN,Fiber optic,No,No,No,No,Yes,Yes
282,6243-OZGFH,DSL,No,No,No,No,Yes,Yes
283,4654-DLAMQ,Fiber optic,Yes,Yes,Yes,No,No,Yes
284,0513-RBGPE,DSL,Yes,No,Yes,Yes,No,No
285,5160-UXJED,DSL,No,No,No,No,No,No
286,4115-NZRKS,Fiber optic,No,No,No,No,Yes,Yes
287,0219-YTZUE,Fiber optic,No,Yes,Yes,No,No,No
288,0623-IIHUG,DSL,Yes,No,No,No,Yes,No
289,4572-DVCGN,Fiber optic,No,No,No,No,No,Yes
290,3351-NGXYI,DSL,Yes,No,No,No,No,No
291,8984-EYLLL,Fiber optic,No,Yes,No,Yes,Yes,Yes
292,9057-MSWCO,DSL,Yes,No,No,No,No,No
293,9833-TGFHX,Fiber optic,Yes,No,No,No,Yes,Yes
294,5229-DTFYB,Fiber optic,No,Yes,No,Yes,Yes,Yes
295,0104-PPXDV,DSL,No,No,Yes,No,No,No
296,3583-KRKMD,Fiber optic,No,No,No,Yes,No,No
297,1010-DIAUQ,Fiber optic,No,No,Yes,No,Yes,Yes
298,9069-LGEUL,DSL,Yes,No,No,No,No,Yes
299,9571-EDEBV,Fiber optic,No,No,Yes,No,Yes,Yes
300,3520-FJGCV,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes
301,0259-GBZSH,Fiber optic,No,No,No,No,Yes,No
302,6122-EFVKN,DSL,Yes,No,No,Yes,No,No
303,2805-EDJPQ,Fiber optic,No,Yes,Yes,Yes,No,Yes
304,6862-CQUMB,Fiber optic,No,Yes,No,No,Yes,Yes
305,7156-MXBJE,DSL,No,Yes,Yes,Yes,Yes,Yes
306,6158-HDPXZ,DSL,No,No,No,No,No,No
307,9601-BRXPO,Fiber optic,No,No,Yes,Yes,Yes,Yes
308,2863-IMQDR,DSL,Yes,Yes,Yes,Yes,Yes,Yes
309,5686-CMAWK,Fiber optic,No,No,Yes,Yes,No,No
310,5651-CRHKQ,Fiber optic,No,Yes,Yes,Yes,No,No
311,6905-NIQIN,DSL,No,Yes,No,No,No,No
312,8204-YJCLA,DSL,Yes,Yes,Yes,Yes,Yes,Yes
313,5167-ZFFMM,Fiber optic,No,Yes,No,No,No,Yes
314,6583-SZVGP,Fiber optic,No,Yes,Yes,No,Yes,Yes
315,0533-BNWKF,Fiber optic,No,Yes,Yes,No,No,No
316,1708-PBBOA,DSL,Yes,Yes,Yes,Yes,No,Yes
317,8782-LKFPK,Fiber optic,No,No,Yes,No,No,Yes
318,5522-JBWMO,DSL,No,No,No,No,No,No
319,3597-MVHJT,Fiber optic,No,No,No,No,Yes,Yes
320,9774-NRNAU,DSL,No,Yes,Yes,Yes,Yes,Yes
321,0224-RLWWD,DSL,No,No,No,No,No,No
322,3951-NJCVI,Fiber optic,No,No,No,No,Yes,Yes
323,2977-CEBSX,DSL,Yes,Yes,Yes,Yes,Yes,Yes
324,0177-PXBAT,Fiber optic,Yes,No,Yes,Yes,Yes,Yes
325,6599-CEBNN,Fiber optic,No,Yes,No,No,No,No
326,2519-ERQOJ,DSL,No,No,Yes,Yes,Yes,Yes
327,0979-PHULV,Fiber optic,No,No,Yes,No,Yes,Yes
328,3067-SVMTC,DSL,Yes,No,No,Yes,No,No
329,4742-DRORA,Fiber optic,Yes,No,Yes,No,Yes,No
330,0111-KLBQG,Fiber optic,No,Yes,No,No,Yes,Yes
331,0334-GDDSO,Fiber optic,No,Yes,No,No,No,No
332,5233-AOZUF,Fiber optic,No,No,No,No,No,No
333,5973-EJGDP,Fiber optic,No,Yes,Yes,Yes,No,No
334,1996-DBMUS,Fiber optic,No,No,No,No,No,No
335,7916-VCCPB,Fiber optic,No,Yes,No,No,No,No
336,4686-GEFRM,Fiber optic,No,Yes,Yes,Yes,No,Yes
337,0578-SKVMF,Fiber optic,No,Yes,No,No,No,Yes
338,5564-NEMQO,Fiber optic,No,No,Yes,No,No,No
339,5605-IYGFG,Fiber optic,No,No,No,No,No,No
340,7663-ZTEGJ,Fiber optic,No,Yes,Yes,Yes,No,Yes
341,8111-BKVDS,DSL,Yes,Yes,Yes,No,No,No
342,2055-SIFSS,DSL,No,No,No,No,No,No
343,2806-MLNTI,Fiber optic,No,Yes,Yes,No,Yes,Yes
344,8734-DKSTZ,Fiber optic,No,No,No,No,No,Yes
345,4360-PNRQB,Fiber optic,No,No,No,No,No,No
346,6152-ONASV,DSL,Yes,No,No,Yes,No,No
347,7781-HVGMK,DSL,Yes,Yes,Yes,Yes,Yes,Yes
348,2181-UAESM,DSL,Yes,No,Yes,No,No,No
349,2957-LOLHO,DSL,No,No,No,No,No,No
350,2320-SLKMB,DSL,No,No,Yes,Yes,Yes,No
351,4376-KFVRS,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes
352,5886-VLQVU,Fiber optic,No,No,No,Yes,No,Yes
353,3577-AMVUX,DSL,No,No,Yes,Yes,No,No
354,0771-WLCLA,Fiber optic,Yes,No,Yes,Yes,Yes,Yes
355,5628-RKIFK,Fiber optic,Yes,No,No,No,Yes,Yes
356,0206-TBWLC,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes
357,2937-FTHUR,DSL,Yes,No,No,No,No,Yes
358,1910-FMXJM,Fiber optic,No,No,No,No,No,Yes
359,7752-XUSCI,Fiber optic,No,Yes,Yes,No,Yes,Yes
360,4110-PFEUZ,Fiber optic,No,No,No,No,No,No
361,5168-MSWXT,Fiber optic,No,No,Yes,No,Yes,Yes
362,1090-ESELR,Fiber optic,Yes,Yes,No,Yes,Yes,Yes
363,5760-WRAHC,DSL,Yes,No,Yes,Yes,No,Yes
364,8847-GEOOQ,DSL,No,Yes,Yes,Yes,Yes,Yes
365,0256-LTHVJ,Fiber optic,No,No,No,No,No,Yes
366,8313-NDOIA,Fiber optic,No,Yes,Yes,No,Yes,Yes
367,5149-CUZUJ,Fiber optic,No,Yes,Yes,Yes,Yes,No
368,0942-KOWSM,DSL,No,Yes,Yes,Yes,Yes,Yes
369,1452-VOQCH,Fiber optic,No,No,No,No,No,No
370,6614-VBEGU,DSL,No,Yes,No,No,Yes,Yes
371,0880-TKATG,Fiber optic,No,No,Yes,No,Yes,Yes
372,3811-VBYBZ,Fiber optic,No,Yes,No,No,Yes,Yes
373,1480-BKXGA,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes
374,2996-XAUVF,DSL,No,No,No,Yes,No,Yes
375,9076-AXYIK,Fiber optic,No,No,Yes,Yes,Yes,Yes
376,5968-XQIVE,Fiber optic,No,Yes,No,No,Yes,No
377,4640-UHDOS,DSL,No,No,No,No,No,Yes
378,3583-EKAPL,DSL,No,No,No,No,No,Yes
379,1304-BCCFO,DSL,No,No,Yes,No,Yes,Yes
380,4104-PVRPS,DSL,Yes,No,No,Yes,No,No
381,9399-APLBT,Fiber optic,No,Yes,No,No,No,No
382,2359-KMGLI,Fiber optic,No,Yes,No,No,No,No
383,3780-DDGSE,DSL,No,Yes,No,Yes,Yes,Yes
384,4431-EDMIQ,DSL,Yes,Yes,Yes,Yes,Yes,No
385,0306-JAELE,Fiber optic,No,No,No,Yes,Yes,Yes
386,6227-HWPWX,Fiber optic,No,No,No,No,No,No
387,0447-BEMNG,DSL,Yes,No,Yes,No,No,Yes
388,4612-SSVHJ,Fiber optic,No,No,No,No,No,Yes
389,5168-MQQCA,Fiber optic,No,Yes,Yes,Yes,Yes,Yes
390,5949-XIKAE,Fiber optic,No,Yes,No,No,Yes,No
391,7971-HLVXI,Fiber optic,No,No,No,No,No,Yes
392,9094-AZPHK,Fiber optic,No,Yes,No,No,Yes,Yes
393,3649-JPUGY,DSL,No,Yes,Yes,Yes,Yes,Yes
394,4472-LVYGI,DSL,Yes,No,Yes,Yes,Yes,No
395,8372-JUXUI,Fiber optic,No,No,No,No,No,No
396,3552-CTCYF,Fiber optic,No,Yes,Yes,No,Yes,Yes
397,6778-YSNIH,DSL,No,Yes,No,No,Yes,No
398,0388-EOPEX,Fiber optic,Yes,No,No,No,No,No
399,5756-OZRIO,DSL,No,Yes,No,No,No,Yes
400,8205-OTCHB,DSL,No,Yes,Yes,No,No,Yes
401,4134-BSXLX,DSL,Yes,Yes,No,Yes,No,No
402,6235-VDHOM,DSL,No,Yes,No,No,No,No
403,7783-YKGDV,Fiber optic,Yes,Yes,Yes,No,No,Yes
404,4374-YMUSQ,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes
405,4513-CXYIX,Fiber optic,Yes,No,No,No,No,No
406,3957-HHLMR,DSL,Yes,No,No,No,No,Yes
407,7803-XOCCZ,Fiber optic,Yes,No,Yes,Yes,No,No
