,customerID,MultipleLines
100,4549-ZDQYY,No
101,5712-AHQNN,No
102,4846-WHAFZ,Yes
103,3071-VBYPO,No
104,5299-RULOA,Yes
105,8402-OOOHJ,No
106,9445-ZUEQE,Yes
107,1091-SOZGA,Yes
108,2928-HLDBA,No
109,0404-SWRVG,Yes
110,6497-TILVL,No
111,7219-TLZHO,No
112,4622-YNKIJ,No
113,4412-YLTKF,Yes
114,6734-PSBAW,Yes
115,3930-ZGWVE,No
116,2876-GZYZC,Yes
117,8587-XYZSF,No
118,2372-HWUHI,No
119,7799-LGRDP,Yes
120,7850-VWJUU,No
121,3774-VBNXY,No
122,6217-KDYWC,No
123,0390-DCFDQ,No
124,3146-MSEGF,Yes
125,4080-OGPJL,Yes
126,1095-WGNGG,Yes
127,2636-SJDOU,Yes
128,1131-QQZEB,Yes
129,5716-EZXZN,Yes
130,6837-BJYDQ,No
131,2135-RXIHG,No
132,6440-DKQGE,No
133,3466-BYAVD,No
134,3780-YVMFA,No
135,3874-EQOEP,Yes
136,1679-JRFBR,Yes
137,9073-ZZIAY,No
138,3077-RSNTJ,No
139,6551-GNYDG,No
140,9167-APMXZ,Yes
141,2749-CTKAJ,No
142,6371-NZYEG,No
143,7554-NEWDD,Yes
144,8992-VONJD,No
145,0867-MKZVY,Yes
146,4482-EWFMI,No
147,4648-YPBTM,Yes
148,2907-ILJBN,No
149,6345-FZOQH,No
150,3376-BMGFE,No
151,5997-OPVFA,Yes
152,1159-WFSGR,No
153,7654-YWJUF,No
154,1875-QIVME,Yes
155,6727-IOTLZ,No
156,0691-JVSYA,No
157,5918-VUKWP,No
158,1744-JHKYS,Yes
159,2656-FMOKZ,Yes
160,2070-FNEXE,No
161,5947-SGKCL,Yes
162,3712-PKXZA,No
163,6582-OIVSP,No
164,9367-WXLCH,Yes
165,5524-KHNJP,No
166,1918-ZBFQJ,No
167,4827-USJHP,No
168,0956-SYCWG,No
169,8017-UVSZU,Yes
170,7100-FQPRV,Yes
171,2472-OVKUP,No
172,2984-RGEYA,No
173,9680-NIAUV,Yes
174,2146-EGVDT,No
175,2604-IJPDU,No
176,9178-JHUVJ,Yes
177,6168-YBYNP,Yes
178,7255-SSFBC,Yes
179,3645-DEYGF,No
180,9323-HGFWY,No
181,8544-GOQSH,No
182,3363-DTIVD,Yes
183,7018-WBJNK,No
184,9142-KZXOP,No
185,7674-YTAFD,No
186,1285-OKIPP,No
187,7825-ECJRF,No
188,1347-KTTTA,No
189,7841-TZDMQ,No
190,7157-SMCFK,No
191,4709-LKHYG,No
192,2504-DSHIH,Yes
193,2040-LDIWQ,Yes
194,6496-JDSSB,No
195,9408-SSNVZ,No
196,4443-EMBNA,Yes
197,6469-MRVET,No
198,0742-MOABM,No
199,5961-VUSRV,No
200,6341-JVQGF,No
201,2232-DMLXU,No
202,4811-JBUVU,Yes
203,0945-TSONX,Yes
204,2651-ZCBXV,Yes
205,3316-UWXUY,No
206,8937-RDTHP,No
207,7083-MIOPC,No
208,1984-GPTEH,Yes
209,1251-KRREG,Yes
210,9903-LYSAB,Yes
211,0094-OIFMO,No
212,9227-UAQFT,No
213,7301-ABVAD,Yes
214,6614-FHDBO,Yes
215,7576-ASEJU,No
216,9058-HRZSV,No
217,4522-AKYLR,No
218,0221-WMXNQ,No
219,0303-UNCIP,Yes
220,9947-OTFQU,No
221,0322-YINQP,No
222,0959-WHOKV,Yes
223,4075-JFPGR,No
224,4629-NRXKX,No
225,3282-ZISZV,Yes
226,3675-YDUPJ,No
227,7017-VFHAY,Yes
228,6655-LHBYW,Yes
229,4959-JOSRX,No
230,3606-TWKGI,Yes
231,7529-ZDFXI,Yes
232,1950-KSVVJ,Yes
233,0123-CRBRT,Yes
234,6292-TOSSS,Yes
235,3197-ARFOY,No
236,6323-AYBRX,No
237,7014-ZZXAW,Yes
238,4385-GZQXV,No
239,7633-MVPUY,No
240,4716-HHKQH,Yes
241,5940-AHUHD,No
242,6432-TWQLB,Yes
243,4484-GLZOU,Yes
244,3179-GBRWV,No
245,4130-MZLCC,No
246,0314-TKOSI,No
247,8229-MYEJZ,No
248,2080-SRCDE,Yes
249,9577-WJVCQ,Yes
250,9512-UIBFX,No
251,6202-DYYFX,Yes
252,3808-HFKDE,No
253,5583-SXDAG,No
254,3488-PGMQJ,No
255,3580-REOAC,No
256,7534-BFESC,Yes
257,3727-OWVYD,No
258,2294-SALNE,No
259,4847-TAJYI,No
260,1563-IWQEX,No
261,8203-XJZRC,No
262,6556-DBKZF,No
263,6851-WEFYX,Yes
264,2985-JUUBZ,Yes
265,6390-DSAZX,No
266,0895-LMRSF,No
267,8098-LLAZX,Yes
268,8266-VBFQL,No
269,2240-HSJQD,Yes
270,1248-DYXUB,Yes
271,0265-EDXBD,Yes
272,4115-BNPJY,No
273,3167-SNQPL,Yes
274,4091-TVOCN,Yes
275,1098-TDVUQ,No
276,7277-OZCGZ,No
277,1557-EMYVT,Yes
278,2799-ARNLO,No
279,7563-BIUPC,No
280,5027-YOCXN,Yes
281,3973-SKMLN,No
282,2321-OMBXY,No
283,2840-XANRC,No
284,6745-JEFZB,Yes
285,5020-ZSTTY,Yes
286,8705-WZCYL,No
287,7102-JJVTX,No
288,4983-CLMLV,Yes
289,5701-YVSVF,No
290,5804-LEPIM,No
291,2739-CACDQ,Yes
292,9385-EHGDO,No
293,9498-FIMXL,No
294,2379-GYFLQ,Yes
295,0122-OAHPZ,Yes
296,2868-SNELZ,Yes
297,4322-RCYMT,Yes
298,6680-NENYN,Yes
299,2088-IEBAU,Yes
300,7982-VCELR,No
301,1343-EHPYB,Yes
302,6035-BXTTY,No
303,6885-PKOAM,Yes
304,7520-HQWJU,Yes
305,9639-BUJXT,No
306,5924-SNGKP,No
307,0021-IKXGC,Yes
308,2034-GDRCN,No
309,8966-SNIZF,No
310,4654-DLAMQ,No
311,0513-RBGPE,Yes
312,5160-UXJED,No
313,4115-NZRKS,No
314,0219-YTZUE,Yes
315,4572-DVCGN,No
316,3351-NGXYI,Yes
317,8984-EYLLL,Yes
318,9833-TGFHX,Yes
319,9294-TDIPC,No
320,5229-DTFYB,No
321,0104-PPXDV,No
322,5176-LMJXE,No
323,3583-KRKMD,No
324,1010-DIAUQ,No
325,9069-LGEUL,No
326,7302-ZHMHP,No
327,9571-EDEBV,Yes
328,3520-FJGCV,Yes
329,6563-VRERX,No
330,0259-GBZSH,Yes
331,2805-EDJPQ,Yes
332,6862-CQUMB,No
333,7156-MXBJE,Yes
334,9601-BRXPO,Yes
335,2863-IMQDR,Yes
336,5686-CMAWK,Yes
337,5651-CRHKQ,No
338,6905-NIQIN,No
339,5167-ZFFMM,Yes
340,6583-SZVGP,Yes
341,4895-TMWIR,No
342,0533-BNWKF,Yes
343,8782-LKFPK,Yes
344,5522-JBWMO,No
345,3597-MVHJT,Yes
346,9774-NRNAU,Yes
347,0224-RLWWD,No
348,9967-ATRFS,No
349,3951-NJCVI,Yes
350,2977-CEBSX,Yes
351,0177-PXBAT,Yes
352,6599-CEBNN,No
353,5876-QMYLD,No
354,2277-AXSDC,No
355,9442-JTWDL,No
356,0979-PHULV,Yes
357,3067-SVMTC,No
358,5495-GPSRW,No
359,7606-BPHHN,No
360,4742-DRORA,Yes
361,0111-KLBQG,No
362,4800-VHZKI,No
363,7989-CHGTL,No
364,0334-GDDSO,Yes
365,4163-NCJAK,Yes
366,5233-AOZUF,Yes
367,5973-EJGDP,Yes
368,1996-DBMUS,No
369,7916-VCCPB,No
370,4686-GEFRM,Yes
371,5249-QYHEX,Yes
372,0578-SKVMF,No
373,5564-NEMQO,No
374,2233-FAGXV,Yes
375,5605-IYGFG,No
376,7663-ZTEGJ,Yes
377,3935-TBRZZ,Yes
378,2055-SIFSS,Yes
379,2806-MLNTI,Yes
380,8734-DKSTZ,Yes
381,4360-PNRQB,Yes
382,6152-ONASV,Yes
383,9063-ZGTUY,No
384,2181-UAESM,No
385,2957-LOLHO,No
386,6048-NJXHX,No
387,4980-URKXC,No
388,4376-KFVRS,Yes
389,5886-VLQVU,Yes
390,3577-AMVUX,No
391,0771-WLCLA,Yes
392,5628-RKIFK,Yes
393,0206-TBWLC,Yes
394,2937-FTHUR,Yes
395,1910-FMXJM,No
396,7752-XUSCI,Yes
397,4110-PFEUZ,No
398,0732-OCQOC,Yes
399,5168-MSWXT,No
400,1090-ESELR,No
401,8592-PLTMQ,Yes
402,5760-WRAHC,No
403,0256-LTHVJ,No
404,4785-FCIFB,Yes
405,8313-NDOIA,Yes
406,5149-CUZUJ,No
407,0942-KOWSM,No
408,4237-CLSMM,No
409,1452-VOQCH,Yes
410,4719-UMSIY,No
411,6614-VBEGU,No
412,0880-TKATG,Yes
413,3811-VBYBZ,Yes
414,1480-BKXGA,Yes
415,9076-AXYIK,Yes
416,5968-XQIVE,Yes
417,8896-RAZCR,No
418,4640-UHDOS,No
419,4933-IKULF,No
420,3583-EKAPL,No
421,1304-BCCFO,No
422,4104-PVRPS,No
423,9399-APLBT,No
424,2359-KMGLI,Yes
425,3780-DDGSE,No
426,4431-EDMIQ,No
427,0306-JAELE,No
428,6227-HWPWX,No
429,0486-LGCCH,No
430,4612-SSVHJ,No
431,5168-MQQCA,Yes
432,5949-XIKAE,No
433,7971-HLVXI,Yes
434,9094-AZPHK,Yes
435,3649-JPUGY,Yes
436,8372-JUXUI,Yes
437,3552-CTCYF,Yes
438,6778-YSNIH,No
439,0388-EOPEX,No
440,5756-OZRIO,Yes
441,6579-JPICP,No
442,4134-BSXLX,No
443,0505-SPOOW,No
444,7783-YKGDV,Yes
445,4374-YMUSQ,Yes
446,4513-CXYIX,Yes
447,3957-HHLMR,Yes
448,7803-XOCCZ,No
449,5736-YEJAX,Yes
450,5609-CEBID,Yes
451,8981-FJGLA,Yes
452,7218-HKQFK,No
453,4636-QRJKY,Yes
454,1135-LMECX,No
455,4332-MUOEZ,No
456,8535-SFUTN,Yes
457,5956-VKDTT,Yes
458,8677-HDZEE,Yes
459,2475-MROZF,Yes
460,9412-GHEEC,Yes
461,3482-ABPKK,No
462,6705-LXORM,No
463,0257-ZESQC,No
464,7531-GQHME,No
465,5174-ITUMV,Yes
466,4109-CYRBD,Yes
467,0913-XWSCN,Yes
468,6825-UYPFK,Yes
469,8397-MVTAZ,Yes
470,0750-EBAIU,No
471,8606-CIQUL,Yes
472,3571-DPYUH,Yes
473,7601-GNDYK,No
474,0356-OBMAC,Yes
475,8067-NIOYM,No
476,1403-GYAFU,No
477,4234-XTNEA,No
478,1297-VQDRP,Yes
479,9282-IZGQK,Yes
480,5348-CAGXB,Yes
481,0621-HJWXJ,Yes
482,5844-QVTAT,No
483,8905-IAZPF,No
484,5394-MEITZ,No
485,6859-QNXIQ,Yes
486,2782-LFZVW,Yes
487,2866-IKBTM,No
488,1342-JPNKI,Yes
489,7129-AZJDE,No
490,6986-IJDHX,No
491,2560-PPCHE,Yes
492,4676-MQUEA,Yes
493,8138-EALND,No
494,3580-HYCSP,Yes
495,1352-HNSAW,Yes
496,2075-PUEPR,No
497,1982-FEBTD,Yes
498,5301-GAUUY,Yes
499,5791-KAJFD,Yes
500,2654-VBVPB,No
501,1154-HYWWO,No
502,2501-XWWTZ,No
503,3716-UVSPD,No
504,6815-ABQFQ,Yes
505,7343-EOBEU,Yes
506,3701-SFMUH,No
507,6103-LIANB,Yes
508,7319-VENRZ,No
509,5846-NEQVZ,No
510,6967-QIQRV,No
511,5781-RFZRP,Yes
512,0939-YAPAF,Yes
513,7293-LSCDV,No
514,7025-WCBNE,Yes
515,5756-JYOJT,No
516,4710-FDUIZ,Yes
517,6030-REHUX,Yes
518,9548-LIGTA,No
519,5150-LJNSR,Yes
520,8270-RKSAP,No
521,6522-YRBXD,Yes
522,2640-LYMOV,No
523,1218-VKFPE,No
524,3627-FHKBK,No
525,2865-TCHJW,Yes
526,1423-BMPBQ,No
527,2393-DIVAI,No
528,5192-EBGOV,Yes
529,4568-KNYWR,No
530,8752-IMQOS,No
531,0742-LAFQK,Yes
532,0795-LAFGP,Yes
533,0619-OLYUR,Yes
534,5512-IDZEI,Yes
535,0459-SPZHJ,Yes
536,0215-BQKGS,No
537,9244-ZVAPM,No
538,0719-SYFRB,Yes
539,5172-MIGPM,Yes
540,1710-RCXUS,Yes
541,0374-FIUCA,No
542,5839-SUYVZ,No
543,5173-ZXXXL,No
544,1096-ADRUX,Yes
545,2001-MCUUW,Yes
546,2731-GJRDG,Yes
547,4723-BEGSG,Yes
548,6516-NKQBO,No
549,8672-OAUPW,No
550,8207-DMRVL,Yes
551,3419-SNJJD,Yes
552,4765-OXPPD,No
553,2804-ETQDK,No
554,6689-VRRTK,Yes
555,7138-GIRSH,Yes
556,9396-ZSFLL,Yes
557,7134-MJPDY,Yes
558,5240-CAOYT,Yes
559,4059-IIEBK,Yes
560,0516-UXRMT,Yes
561,4851-BQDNX,No
562,5148-HKFIR,No
563,1009-IRMNA,No
564,3003-CMDUU,No
565,5016-IBERQ,Yes
566,6797-UCJHZ,Yes
567,2469-DTSGX,Yes
568,4554-YGZIH,Yes
569,5099-BAILX,Yes
570,9931-KGHOA,Yes
571,1775-KWJKQ,Yes
572,7665-VIGUD,No
573,7207-RMRDB,Yes
574,7954-MLBUN,No
575,2077-DDHJK,Yes
576,4913-EHYUI,Yes
577,0195-IESCP,Yes
578,9574-BOSMD,Yes
579,4580-TMHJU,No
580,0970-ETWGE,No
581,4908-XAXAY,No
582,8404-VLQFB,Yes
583,1626-ERCMM,Yes
584,0887-HJGAR,No
585,2391-IPLOP,Yes
586,5644-PDMZC,Yes
587,3509-GWQGF,No
588,9576-ANLXO,No
589,2024-BASKD,No
590,5845-BZZIB,No
591,1140-UKVZG,Yes
592,4160-AMJTL,No
593,5183-SNMJQ,No
594,8100-PNJMH,Yes
595,7838-LAZFO,No
596,4464-JCOLN,No
597,2085-JVGAD,No
598,8095-WANWK,No
599,3030-ZKIWL,No
600,9565-FLVCG,Yes
601,8755-OGKNA,No
602,2800-VEQXM,No
603,7538-GWHML,No
604,3859-CVCET,No
605,5642-MHDQT,No
606,3088-FVYWK,Yes
607,3276-HDUEG,Yes
608,9092-GDZKO,Yes
609,3729-OWRVL,Yes
610,2324-AALNO,Yes
611,5760-IFJOZ,Yes
612,2826-UWHIS,Yes
613,1448-PWKYE,No
614,7501-IWUNG,No
615,4957-TREIR,No
616,7251-LJBQN,Yes
617,8040-MNRTF,No
618,1536-HBSWP,No
619,5313-FPXWG,Yes
620,0067-DKWBL,No
621,5076-YVXCM,Yes
622,8262-COGGB,No
623,6663-JOCQO,Yes
624,9620-QJREV,No
625,2276-YDAVZ,Yes
626,2682-KEVRP,No
627,2480-JZOSN,No
628,0078-XZMHT,Yes
629,5896-NPFWW,No
630,9978-HYCIN,No
631,8338-QIUNR,Yes
632,1525-LNLOJ,Yes
633,9450-TRJUU,Yes
634,1766-GKNMI,Yes
635,6942-LBFDP,No
636,1456-TWCGB,No
637,7133-VBDCG,No
638,7596-ZYWBB,No
639,8329-UTMVM,Yes
640,3014-WJKSM,No
641,3347-YJZZE,Yes
642,1029-QFBEN,No
643,7929-DMBCV,No
644,9661-JALZV,Yes
645,5433-KYGHE,Yes
646,4312-KFRXN,Yes
647,5575-TPIZQ,Yes
648,9944-AEXBM,Yes
649,6952-OMNWB,Yes
650,4697-LUPSU,No
651,8434-VGEQQ,No
652,4952-YSOGZ,Yes
653,1589-AGTLK,No
654,5244-IRFIH,Yes
655,6549-YMFAW,No
656,4950-HKQTE,Yes
657,6786-OBWQR,No
658,2684-EIWEO,Yes
659,2753-JMMCV,Yes
660,6439-GTPCA,Yes
661,6621-YOBKI,No
662,1216-JWVUX,No
663,7564-GHCVB,Yes
664,1173-NOEYG,Yes
665,6647-ZEDXT,Yes
666,2521-NPUZR,No
667,1307-TVUFB,Yes
668,7503-MIOGA,Yes
669,4381-MHQDC,Yes
670,6923-JHPMP,No
671,5138-WVKYJ,Yes
672,4018-PPNDW,Yes
673,1635-FJFCC,No
674,2499-AJYUA,Yes
675,6919-ELBGL,Yes
676,3966-HRMZA,No
677,6425-JWTDV,No
678,8405-IGQFX,No
679,8224-IVVPA,No
680,9477-LGWQI,No
681,1410-RSCMR,No
682,3115-CZMZD,No
683,0139-IVFJG,No
684,6683-VLCTZ,Yes
685,5730-DBDSI,No
686,0030-FNXPP,No
687,2189-WWOEW,No
688,5684-FJVYR,Yes
689,4013-GUXND,No
690,1894-IGFSG,No
691,7379-POKDZ,No
692,1266-NZYUI,Yes
693,7969-FFOWG,No
694,5175-WLYXL,Yes
695,7817-OMJNA,No
696,8728-SKJLR,No
697,3137-NYQQI,No
698,7706-DZNKK,No
699,0236-HFWSV,Yes
700,3900-AQPHZ,No
701,5842-POCOP,No
702,2037-XJFUP,No
703,8823-RLPWL,Yes
704,7314-OXENN,Yes
705,3758-CKOQL,Yes
706,0322-CHQRU,No
707,5676-CFLYY,No
708,7521-AFHAB,No
709,0285-INHLN,No
710,4678-DVQEO,No
711,0691-IFBQW,Yes
712,4992-LTJNE,Yes
713,2202-OUTMO,Yes
714,0810-BDHAW,Yes
715,0229-LFJAF,Yes
716,3442-ZHHCC,Yes
717,5726-CVNYA,No
718,9871-ELEYA,No
719,5173-WXOQV,No
720,2040-OBMLJ,Yes
721,6286-ZHAOK,Yes
722,3807-XHCJH,No
723,3009-JWMPU,Yes
724,5671-RQRLP,Yes
725,1450-GALXR,Yes
726,8859-AXJZP,Yes
727,3174-AKMAS,No
728,3138-BKYAV,No
729,9926-PJHDQ,Yes
730,7382-DFJTU,No
731,2798-NYLMZ,Yes
732,4289-DTDKW,Yes
733,1820-TQVEV,No
734,2239-JALAW,Yes
735,4853-RULSV,Yes
736,8098-TDCBU,Yes
737,4785-NKHCX,No
738,3196-NVXLZ,Yes
739,6275-YDUVO,No
740,0036-IHMOT,No
741,0115-TFERT,Yes
742,4178-EGMON,Yes
743,4220-TINQT,Yes
744,5318-YKDPV,No
745,7975-TZMLR,Yes
746,0295-QVKPB,No
747,4335-BSMJS,Yes
748,2311-QYMUQ,No
749,3643-AHCFP,Yes
750,9146-JRIOX,Yes
751,3104-OWCGK,No
752,9101-BWFSS,Yes
753,9650-VBUOG,Yes
754,3487-EARAT,No
755,2672-TGEFF,Yes
756,9231-ZJYAM,No
757,4250-WAROZ,Yes
758,8184-WMOFI,No
759,6982-SSHFK,No
760,6092-QZVPP,No
761,4625-LAMOB,No
762,0727-BMPLR,Yes
763,0392-BZIUW,Yes
764,1038-ZAGBI,No
765,3027-ZTDHO,No
766,0422-OHQHQ,No
767,6916-HIJSE,No
768,9778-OGKQZ,Yes
769,7408-OFWXJ,Yes
770,6007-TCTST,Yes
771,2252-NKNSI,Yes
772,8713-IGZSO,Yes
773,7905-TVXTA,No
774,7695-PKLCZ,No
775,2382-BCKQJ,Yes
776,8374-UULRV,Yes
777,2207-NHRJK,No
778,3224-DFQNQ,Yes
779,4795-UXVCJ,No
780,9777-IQHWP,Yes
781,0947-MUGVO,No
782,9944-HKVVB,No
783,4124-MMETB,Yes
784,3671-SHRSP,No
785,2732-ISEZX,No
786,3313-QKNKB,Yes
787,0323-XWWTN,Yes
788,1937-OTUKY,Yes
789,1573-LGXBA,No
790,1764-VUUMT,No
791,4713-ZBURT,Yes
792,0207-MDKNV,No
793,7945-HLKEA,Yes
794,9342-VNIMQ,Yes
795,9851-KIELU,No
796,3523-BRGUW,No
797,3908-BLSYF,No
798,3199-NPKCN,Yes
799,4661-NJEUX,No
800,2123-AGEEN,No
801,1258-YMZNM,Yes
802,0048-LUMLS,No
803,7549-MYGPK,Yes
804,5898-IGSLP,Yes
805,3804-RVTGV,Yes
806,6259-WJQLC,Yes
807,7997-EASSD,Yes
808,0730-KOAVE,Yes
809,8975-SKGRX,Yes
810,0678-RLHVP,Yes
811,4315-MURBD,No
812,2267-FPIMA,Yes
813,1051-GEJLJ,No
814,9734-YWGEX,Yes
815,2719-BDAQO,No
816,5285-MVEHD,No
817,0379-DJQHR,No
818,0781-LKXBR,Yes
819,5543-QDCRY,No
820,0297-RBCSG,No
821,4694-PHWFW,No
822,0835-JKADZ,Yes
823,1907-UBQFC,No
824,7508-SMHXL,Yes
825,3865-YIOTT,Yes
826,5993-BQHEA,No
827,6024-RUGGH,Yes
828,6513-EECDB,Yes
829,3956-CJUST,No
830,6103-BOCOU,Yes
831,5149-TGWDZ,No
832,7471-WNSUF,Yes
833,8942-DBMHZ,No
834,4301-VVZKA,Yes
835,9199-PWQVC,Yes
836,4824-GUCBY,No
837,5393-HJZSM,No
838,7074-IEVOJ,Yes
839,9625-QSTYE,No
840,0862-PRCBS,Yes
841,8812-ZRHFP,No
842,5146-CBVOE,No
843,0454-OKRCT,No
844,5787-KXGIY,No
845,4750-ZRXIU,Yes
846,6630-UJZMY,Yes
847,5709-LVOEQ,No
848,6400-BWQKW,Yes
849,2692-AQCPF,Yes
850,0347-UBKUZ,No
851,0835-DUUIQ,No
852,7567-ECMCM,No
853,6353-BRMMA,Yes
854,6680-WKXRZ,Yes
855,6231-WFGFH,No
856,9904-EHEVJ,Yes
857,7028-DVOIQ,Yes
858,6169-PPETC,No
859,4208-UFFGW,No
860,8584-KMVXD,No
861,8467-WYNSR,No
862,0851-DFJKB,No
863,5382-SOYZL,Yes
864,9448-REEVD,No
865,3261-CQXOL,Yes
866,8388-FYNPZ,No
867,4002-BQWPQ,Yes
868,5651-YLPRD,No
869,4378-BZYFP,No
870,9489-UTFKA,No
871,4849-PYRLQ,Yes
872,9117-SHLZX,No
873,9889-TMAHG,No
874,4541-RMRLG,No
875,7764-BDPEE,No
876,3429-IFLEM,No
877,3158-MOERK,Yes
878,7294-TMAOP,No
879,5002-GCQFH,Yes
880,0556-FJEGU,No
881,0604-THJFP,No
882,2834-JRTUA,Yes
883,5875-YPQFJ,No
884,5879-SESNB,Yes
885,6646-QVXLR,Yes
886,6461-PPAXN,No
887,3318-ISQFQ,No
888,1106-HRLKZ,No
889,2483-XSSMZ,No
890,8603-IJWDN,Yes
891,8165-ZJRNM,Yes
892,9369-XFEHK,Yes
893,2604-XVDAM,No
894,3717-OFRTN,No
895,9046-JBFWA,No
896,3280-NMUVX,No
897,1206-EHBDD,No
898,8361-LBRDI,Yes
899,4883-KCPZJ,Yes
900,9108-EQPNQ,Yes
901,7277-KAMWT,No
902,3842-IYKUE,Yes
903,6641-XRPSU,No
904,1374-DMZUI,Yes
905,2545-LXYVJ,No
906,3234-VKACU,No
907,8357-EQXFO,No
908,1989-PRJHP,Yes
909,8120-JDCAM,No
910,8917-FAEMR,No
911,7047-YXDMZ,No
912,2858-EIMXH,Yes
913,9524-EGPJC,Yes
914,6993-OHLXR,No
915,8818-XYFCQ,Yes
916,6419-ZTTLE,No
917,0929-HYQEW,No
918,7426-RHZGU,No
919,4065-JJAVA,No
920,4695-VADHF,No
921,3863-IUBJR,No
922,7649-SIJJF,Yes
923,9361-YNQWJ,Yes
924,9391-TTOYH,No
925,1452-XRSJV,No
926,3422-WJOYD,No
927,8242-SOQUO,No
928,7460-ITWWP,No
929,7147-AYBAA,No
930,7868-TMWMZ,No
931,4822-RVYBB,Yes
932,6732-FZUGP,Yes
933,8436-BJUMM,Yes
934,4184-TJFAN,No
935,8329-GWVPJ,No
936,1352-VHKAJ,Yes
937,4145-UQXUQ,No
938,2632-TACXW,Yes
939,8146-QQKZH,No
940,1767-CJKBA,Yes
941,6445-TNRXS,Yes
942,4869-EPIUS,No
943,9948-YPTDG,No
944,1236-WFCDV,No
945,1915-OAKWD,No
946,7296-PIXQY,No
947,4883-QICIH,No
948,3354-OADJP,No
949,3524-WQDSG,Yes
950,0810-DHDBD,Yes
951,4026-SKKHW,No
952,2829-HYVZP,No
953,8329-IBCTI,No
954,7013-PSXHK,Yes
955,5981-ITEMU,Yes
956,3486-NPGST,No
957,6941-PMGEP,No
958,1624-WOIWJ,No
959,2074-GKOWZ,No
960,0376-YMCJC,Yes
961,6100-FJZDG,No
962,4829-ZLJTK,Yes
963,1730-VFMWO,No
964,7143-BQIBA,No
965,3800-LYTRK,No
966,0634-SZPQA,Yes
967,9646-NMHXE,No
968,7030-NJVDP,No
969,5536-RTPWK,Yes
970,8883-GRDWQ,No
971,6166-ILMNY,No
972,3097-NNSPB,No
973,0655-RBDUG,Yes
974,2111-DWYHN,No
975,4194-WHFCB,Yes
976,4121-AGSIN,Yes
977,4361-BKAXE,Yes
978,9845-PEEKO,Yes
979,0455-XFASS,No
980,0301-KOBTQ,No
981,1751-NCDLI,Yes
982,4367-NUYAO,Yes
983,9878-TNQGW,No
984,9170-ARBTB,No
985,4441-NIHPT,No
986,8999-BOHSE,No
987,7241-AJHFS,Yes
988,7029-RPUAV,Yes
989,4546-FOKWR,Yes
990,9036-CSKBW,Yes
991,5832-TRLPB,No
992,8590-YFFQO,No
993,8659-IOOPU,Yes
994,1338-CECEE,Yes
995,7439-DKZTW,No
996,4646-QZXTF,No
997,4607-CHPCA,No
